Sample in Buffer,Sample in Window,TRIGGER,g_ila.axis_ila_wrapper_1/data_out_12b[0][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[0][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[0][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[0][3][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[1][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[1][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[1][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[1][3][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[2][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[2][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[2][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[2][3][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[3][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[3][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[3][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[3][3][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[4][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[4][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[4][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[4][3][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[5][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[5][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[5][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[5][3][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[6][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[6][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[6][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[6][3][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[7][0][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[7][1][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[7][2][11:0],g_ila.axis_ila_wrapper_1/data_out_12b[7][3][11:0],g_ila.axis_ila_wrapper_1/rx_sync
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
607,607,0,5a3,361,9a3,cdc,cc1,9ff,38c,54f,a48,3bd,4fe,bc7,94d,cec,76f,2f7,cff,7d3,2f7,770,2fa,712,cd6,9a9,b4c,c04,544,384,4c3,b90,bce,507,0
608,608,0,712,301,81f,d02,c00,b57,480,41b,b8f,4bf,3ec,a9b,7c3,cf4,901,32a,cea,957,348,5ed,35a,58d,c35,b04,9f5,cc2,6bb,30a,3b7,a51,ca6,670,0
609,609,0,8a7,311,693,cb0,ae5,c4c,5c7,355,c7d,612,32c,927,63b,c8c,a75,3d2,c6a,ac5,408,49d,438,45c,b2f,c1c,877,cfd,848,2f8,31e,8d9,cff,7ef,0
610,610,0,a1f,398,52c,bed,980,ce4,73c,2f8,cf1,793,2f6,79d,4e1,bb3,baa,4db,b6f,be9,526,3a2,567,376,9d8,cca,6eb,cc8,9cb,376,2fd,74a,ce7,979,0
611,611,0,b69,492,40a,ac7,7f7,d02,8c8,31d,cf5,926,32f,613,3cf,a75,c8c,638,a2c,cb0,689,31b,6da,302,850,cfe,576,c25,b24,453,34e,5c9,c55,ae2,0
612,612,0,c5c,5e5,345,95f,671,c9d,a40,3ac,c79,a8e,3e2,4ca,329,902,cf9,7b9,8b0,d07,815,303,86a,306,6c3,cc4,438,b0b,c32,588,41d,481,b60,c03,0
613,613,0,cee,759,2ff,7d4,50e,bd4,b85,4b3,b97,bc5,4fa,3bc,2fa,772,cef,94c,71e,cd8,9a1,36a,9f0,383,557,c0f,368,9ad,cd2,702,544,394,a07,cbe,0
614,614,0,cfe,8f2,325,64a,3ef,aa6,c73,603,a57,c9a,659,324,33f,5f5,c6e,ab2,5af,c42,afc,431,b3f,46b,41e,aef,2f8,82f,d04,88c,6b0,306,889,d05,0
615,615,0,c97,a64,3c7,4f1,335,939,cee,782,8db,cfc,7e0,2f4,3fc,4aa,b79,bde,46b,b41,c18,563,c48,5aa,357,98b,304,6a1,cba,a14,83c,301,6fe,cd5,0
616,616,0,bb9,ba4,4cb,3d8,2f3,7a6,cf3,90e,752,ce6,96c,34b,513,3a8,a37,caa,382,9ef,cc7,6d6,cdc,725,2f3,80e,38f,535,bf7,b5f,9c0,373,589,c30,0
617,617,0,a8d,c84,628,32d,32d,625,c81,a81,5ce,c57,ad7,412,67e,313,8be,d02,309,866,d03,866,d00,8b6,314,67c,488,411,ad1,c5b,b1e,44c,453,b23,0
618,618,0,911,cfa,7a7,2f8,3da,4d5,ba9,bb7,493,b5c,bf9,535,802,2fc,723,cdb,308,6d8,ccf,9e5,ca9,a2f,3aa,51a,5cb,345,96b,ce9,c2d,580,36c,9c9,0
619,619,0,782,ced,932,33b,4eb,3c7,a68,c91,38f,a16,cb4,6a5,993,358,5b3,c42,37f,568,c14,b40,bdb,b73,4a1,3f3,74b,2f6,7e6,cff,cd3,6fa,303,841,0
620,620,0,606,c74,aa4,3ed,641,322,8f0,cff,30e,899,d06,82d,af6,428,475,b3e,468,435,b08,c48,ab5,c68,5eb,337,8d9,31b,659,c9a,d07,885,313,6b4,0
621,621,0,4b9,b87,bd4,509,7ce,2f6,760,cf1,2fb,706,cce,9b4,c0c,557,38c,9f5,5a8,362,9a8,cdc,94b,ceb,774,2f5,a52,3bc,4f3,bc2,cbb,a04,391,54b,0
622,622,0,3b5,a43,ca3,668,95a,343,5e4,c66,36a,591,c2e,b10,cc7,6c5,307,86e,71b,2fb,81a,d04,7ba,cfb,8fa,329,b8c,4c2,3d9,a92,c04,b5a,487,41f,0
623,623,0,31b,8c9,cfd,7f9,abf,409,494,b6d,449,458,b2e,c1c,d03,84f,302,6de,8b0,318,693,cb3,635,c84,a74,3c9,c78,611,32a,920,ae3,c5b,5d0,353,0
624,624,0,2f8,741,ce8,97f,bea,52b,397,a22,579,371,9cc,ccf,cce,9d7,378,56f,a2c,3a8,52d,beb,4dc,bad,bad,4d7,cf9,790,2ef,78f,986,ce7,746,2fb,0
625,625,0,34e,5c3,c50,ae1,cb2,690,316,8a5,6e7,2fe,84e,cfe,c1d,b2c,460,43c,b76,4a1,407,ac1,3c9,a72,c86,637,cf7,925,331,615,7fd,d00,8d2,327,0
626,626,0,417,47b,b50,c02,cff,817,2fe,718,875,306,6c2,cbb,b0c,c35,595,367,c63,5e9,348,95d,31f,8fb,cf8,7c0,c78,a92,3e2,4bf,66c,ca5,a52,3b5,0
627,627,0,544,389,a04,cbd,cdc,99f,35c,59f,9fc,38e,54f,c06,9a9,cd8,70d,2fc,cea,770,2f7,7d2,2f3,771,ced,944,b8c,bc4,4f5,3b8,508,bd5,b8f,4c2,0
628,628,0,6b9,309,880,d03,c37,b02,43c,460,b45,478,426,aeb,826,d00,899,313,cfd,8f5,328,647,338,5ef,c65,aac,a50,c9c,65a,31b,3f4,aa9,c7a,60d,0
629,629,0,840,2ff,6f5,cd1,b34,c1b,563,375,c4d,5bc,354,988,694,cb2,a1b,39e,c96,a6e,3cb,4f4,3f8,4a2,b76,bdb,8db,cf9,7db,2f3,33f,937,cf4,78f,0
630,630,0,9ca,36d,584,c24,9dc,cc5,6dd,304,ce0,733,2f8,7f9,533,bf3,b63,493,bba,ba1,4d5,3d9,512,3a1,a2b,ca8,747,ce5,96c,346,2fb,7ac,cf6,91d,0
631,631,0,b21,453,442,b1e,85c,d04,867,30a,cfc,8c6,317,67b,40d,ac9,c5c,5db,a85,c8c,632,32c,67a,312,8b1,cfd,5c9,c53,ace,411,333,626,c85,a8d,0
632,632,0,c31,588,36c,9c1,6cd,cc2,9e6,380,ca4,a39,3a6,50c,348,967,ce7,757,919,cfd,7b7,2f9,80b,2f7,722,ce1,486,b5b,bf6,534,3db,4d4,ba1,bc0,0
633,633,0,cd2,6fc,301,838,55d,c10,b3a,46e,bcf,b7f,4b3,3f2,2f9,7db,cfd,8e3,786,cf1,945,343,98f,352,5a7,c40,390,a0f,cb6,6a0,4f2,3c6,a62,c97,0
634,634,0,d00,88a,30d,6a8,427,afb,c45,5ae,aaf,c68,5fa,339,31b,651,c91,a5b,601,c7b,aaf,3fa,af0,424,463,b40,30b,88d,cff,82f,64e,325,8ef,cfd,0
635,635,0,cb8,a09,38f,540,35e,99d,cdb,725,93e,cf1,77d,2f7,3c4,4f2,bbd,b98,4b7,b87,bd8,513,c06,555,380,9ef,2fb,706,cd1,9b1,7da,2ff,75f,ce9,0
636,636,0,bf8,b58,483,416,2f8,80d,d00,8ac,7b6,cf8,90e,32b,4c8,3e3,a8e,c7d,3b3,a3d,ca5,673,cbc,6ca,302,86a,369,589,c2b,b11,966,352,5e4,c67,0
637,637,0,adc,c56,5cd,34d,312,689,cb0,a29,625,c85,a7e,3d2,61d,32e,918,cf6,31c,8c9,d05,7fb,d07,857,2ff,6dc,438,446,b23,c20,ad2,40e,495,b73,0
638,638,0,973,ce4,749,2f9,3a6,524,be4,b70,4d9,ba4,bb9,4e5,7a0,2f2,791,cee,2fb,737,ce4,98b,cc7,9d6,37c,56a,573,36f,9cb,ccb,bf2,534,39e,a26,0
639,639,0,7eb,cfc,8d5,31d,4a1,3f6,abb,c68,3c5,a68,c91,644,933,331,608,c7e,35b,5c3,c4e,af3,c1c,b2d,45b,438,6eb,2fe,83e,d00,cb6,698,315,8a6,0
640,640,0,65f,c9c,a4f,3b7,5f0,33d,952,cec,323,8f7,cfb,7c9,aa4,3ed,4b6,b8d,423,47b,b51,c0b,b03,c37,594,35c,877,301,6ba,cb8,d02,827,2ff,714,0
641,641,0,506,bc9,b8e,4be,769,2f2,7c5,cf7,2f6,767,ce6,955,bcd,502,3b1,a49,550,38c,a02,cbd,9a3,cd7,710,2fa,9f7,381,542,c04,cd6,9a9,36b,59d,0
642,642,0,3eb,a9e,c7c,60e,8fc,329,63f,c8e,343,5e6,c62,abb,ca3,664,31b,8d4,6be,311,87d,d00,821,cfc,8a0,309,b48,475,41b,ae5,c3c,b08,43d,45d,0
643,643,0,334,92e,cf8,78b,a72,3cd,4eb,bb3,403,49f,b73,be6,cfd,7ee,2f9,73f,84e,303,6f5,cd1,693,cb0,a1c,397,c45,5b7,348,980,b3a,c1c,56e,375,0
644,644,0,2f4,79c,cf2,925,bb0,4db,3d1,a79,523,3a4,a28,cae,ce4,978,34c,5cb,9c9,370,57a,c27,526,bed,b65,48c,cda,72f,2f6,7f7,9da,ccc,6e4,305,0
645,645,0,32f,619,c78,a8f,c8e,631,32c,903,68a,30c,8ac,d00,c4a,adc,41b,482,b26,458,445,b16,405,ac7,c62,5d9,d04,8c4,310,66e,85a,d02,874,30e,0
646,646,0,3e1,4c9,b9b,bbf,cfd,7b9,2f1,778,810,2f6,71f,cda,b54,bfd,542,38e,c38,58c,369,9b4,344,95d,cec,756,ca3,a3b,3a8,50b,6c8,cc4,9ef,386,0
647,647,0,4fc,3c1,a5e,c98,cee,943,33f,5f8,9a1,360,5a2,c3b,a00,cb9,6b9,309,cdb,707,2ff,833,2f1,7cf,cfa,8e4,bd3,b80,4ac,3e9,555,c10,b49,474,0
648,648,0,654,329,8e5,d00,c6f,aaf,3f5,4ad,afc,42d,466,b38,883,d06,83e,2fc,d05,898,310,6a8,31c,64b,c93,a5c,aac,c71,5f6,335,432,af6,c4c,5b0,0
649,649,0,7e2,2f6,754,ce7,b7f,bdc,51b,3a5,c13,562,37b,9e4,6f6,cd2,9bd,371,cba,a10,39a,53b,3c0,4ef,bbd,b9a,934,cf0,781,2eb,35f,993,ce0,72b,0
650,650,0,963,349,5db,c5c,a36,ca6,677,318,cc8,6cf,308,862,585,c28,b17,44e,bf6,b64,490,414,4c4,3d7,a81,c84,7ab,cf4,90a,327,301,80d,d07,8ba,0
651,651,0,ad4,40d,48f,b61,8c3,d04,7ff,300,d02,860,306,6d9,44e,b1a,c26,584,ad3,c5e,5d2,34b,619,327,91b,cfc,627,c83,a7e,3d7,31d,683,cb0,a37,0
652,652,0,bf5,530,394,a1c,72f,ce1,98c,35b,cc3,9e9,37b,563,36b,9bf,cce,6f1,977,ce4,74f,2fb,7a5,2ec,786,cee,4cf,ba2,bb3,4e4,3ac,51e,beb,b79,0
653,653,0,cb8,696,30c,897,5b3,c48,af1,424,c12,b3a,464,438,303,840,d03,882,7ea,d03,8dc,325,92d,338,609,c70,3c1,a64,c8b,643,4ad,3ff,ab9,c6c,0
654,654,0,d04,824,2fd,704,474,b43,c0e,555,b00,c3c,5a6,362,305,6ac,cb7,a08,662,ca2,a59,3c0,aa3,3ee,4b1,b8c,322,8ef,cfb,7cc,5fd,346,94e,cf0,0
655,655,0,cd4,9ac,369,593,382,9f4,cbf,6bf,99e,cdb,71e,2fb,38f,541,bf9,b55,4fc,bc8,b96,4c3,bcb,504,3a9,a4c,2f7,764,ce4,956,774,304,7c3,cff,0
656,656,0,c35,b09,43a,456,303,875,d02,849,814,cfe,8a9,317,484,416,ae4,c55,3e0,a98,c7e,619,c9a,664,317,8c9,33d,5e4,c5c,abf,906,32d,63d,c8e,0
657,657,0,b2b,c1e,575,376,305,6e0,ccb,9cf,68f,cae,a26,3a1,5c4,34a,979,ce3,339,928,cf8,798,cf9,7f0,2f6,741,3ff,493,b6e,be5,a7c,3d6,4df,bb2,0
658,658,0,9d8,cca,6ea,303,375,574,c23,b2c,523,be3,b72,4a2,73e,2f3,7f0,cf7,300,79d,cf7,92b,cde,977,34d,5c3,51c,39a,a24,cab,bae,4e1,3d4,a7a,0
659,659,0,84d,d0b,871,30d,45b,43c,b0d,c35,408,abc,c69,5e5,8cf,31c,66f,c9b,338,614,c84,a8f,c50,ada,413,47f,688,30f,8a8,d02,c92,63a,330,900,0
660,660,0,6bf,cbf,9f2,384,591,363,9ad,cdc,343,95b,cea,767,a4c,3b5,505,bcb,3e9,4c5,b99,bcb,b4f,bfc,53f,38f,816,2fa,717,cda,d01,7c0,2f6,770,0
661,661,0,553,c0a,b46,46d,70a,2fb,82c,d03,2fb,7c9,cfa,8f6,b8f,4b8,3ed,aa4,4ff,3c1,a54,ca3,a03,cba,6a9,302,9a0,356,59e,c3b,ced,94a,348,5f5,0
662,662,0,425,aeb,c4d,5ba,898,30c,69f,cb5,327,641,c8e,a62,c7d,606,331,933,65b,324,8e0,cfc,884,d02,838,301,aff,42f,462,b31,c6b,abc,404,4a7,0
663,663,0,353,98d,cdf,731,a11,399,533,bf6,3c6,4e8,bb6,ba7,cf4,78e,2f4,7a4,7e5,2fd,750,ce5,6f2,ccb,9c2,372,c0f,55e,371,9dd,b7f,be8,51f,3a7,0
664,664,0,2fc,808,d03,8bc,b62,48f,40f,ad2,4d2,3d5,a85,c8b,cf4,91a,334,61d,970,34f,5d5,c59,57e,c25,b20,44b,cc5,6d2,303,857,a38,cad,685,313,0
665,665,0,317,67a,ca8,a32,c5a,5d7,348,96a,62d,32c,90a,cf9,c7a,a8d,3e4,4c8,ad5,414,48f,b5f,446,b18,c2a,57d,d06,860,2fa,6d2,8bb,cfc,811,2fd,0
666,666,0,3a8,513,bdd,b7a,ce4,750,2fa,7d9,7ac,2f2,783,cf1,ba1,bbe,4f2,3bc,bfa,534,398,a17,366,9ba,cce,6fb,cc4,9e8,37c,55e,72f,ce0,993,35c,0
667,667,0,4ac,3ef,ab3,c6f,cfe,8de,321,652,940,340,5f5,c74,a61,c94,64e,31e,cbb,6a4,311,894,2fb,834,cff,884,c0e,b3c,460,42a,5b6,c41,af4,42e,0
668,668,0,5fc,337,946,cf0,ca0,a56,3bc,4fa,aa4,3f2,4b4,b7e,8e8,cf9,7d4,2fb,d07,832,301,70c,305,6ab,cbc,a08,afc,c3d,59e,354,477,b45,c15,55f,0
669,669,0,77a,2f4,7b8,cf4,bbf,b98,4c4,3df,bdb,50c,3ae,a3f,760,cea,960,346,cd6,9b6,36c,58f,38d,542,bfc,b55,9a2,cd7,720,2f7,38b,9f2,cc9,6c8,0
670,670,0,902,32d,62c,c89,a87,c7d,618,32f,ca8,674,317,8c0,5d3,c5c,ac8,40b,c39,b15,447,455,47d,40c,ad8,c53,812,cfa,8aa,30b,309,870,d04,85a,0
671,671,0,a78,3d7,4d9,ba7,91e,cf8,79d,2f2,cfe,7f7,2f7,733,496,b60,bea,52c,b2f,c24,57b,377,5c4,348,979,ce6,684,ca8,a2e,39e,305,6e2,ccf,9da,0
672,672,0,bb4,4e4,3c7,a72,78d,cf0,931,33d,ce4,986,353,5b7,395,a1f,cb8,69a,9cd,ccd,6f2,304,743,2f4,7e6,cf8,51b,bdf,b6f,49b,378,56b,c1b,b38,0
673,673,0,c8c,640,32b,8f0,611,c7b,a9e,3ea,c46,aee,424,47d,30f,8a0,cff,820,84f,d0d,881,30d,8d0,31c,661,c96,3fd,ab5,c67,5e6,460,440,b09,c3c,0
674,674,0,cfa,7c9,2fb,76a,4bc,b92,bd0,505,b50,c07,54e,385,2fc,712,cd9,9a4,6c2,cc8,9ff,38d,a4a,3b4,500,bcb,33c,94e,ceb,766,599,366,9ac,cd8,0
675,675,0,cea,952,343,5f4,3b8,a4b,c9a,667,a00,cc2,6b8,304,362,595,c37,b04,54d,c08,b50,47b,b8c,4b7,3e8,a97,2f1,7c4,cf9,8f6,715,306,823,d06,0
676,676,0,c64,abc,3fc,4a3,319,8d6,d05,7ed,87b,d08,847,2ff,43b,45b,b33,c1b,424,aec,c47,5c1,c74,603,330,92b,321,640,c8b,a68,8a5,317,69a,cb0,0
677,677,0,b77,be6,521,3a7,2f6,744,ce5,97a,6f1,ccf,9cc,372,56a,379,9da,ccb,355,98d,cdf,73b,cf2,78c,2f5,79f,3c4,4e4,bb0,ba3,a22,3a4,52e,bf2,0
678,678,0,a2e,cab,683,313,34c,5cd,c53,add,571,c24,b2c,455,6de,306,855,d03,300,7fb,d03,8c2,cf1,915,324,61a,4d0,3cd,a7c,c85,b6c,499,40a,acb,0
679,679,0,8b4,d02,812,2fb,417,482,b5c,bfc,43e,b12,c31,58e,872,305,6c6,cc2,31c,679,ca8,a3c,c7e,a8b,3d8,4c2,62a,327,904,cf6,c62,5d9,348,966,0
680,680,0,722,cda,99c,359,544,38c,a0b,cb8,366,9b1,cd9,705,9e6,387,558,c0c,3b3,514,bd7,b8b,b94,bc3,4f0,3b8,7af,2f7,77b,cf0,ced,75f,2fc,7de,0
681,681,0,5a6,c41,af7,434,6a7,30c,88a,d02,2fd,829,cfb,88f,b41,46f,42c,af2,4b0,3f4,aad,c7c,a56,c98,64b,31c,93e,335,5fa,c6a,cff,8ec,325,64f,0
682,682,0,469,b39,c0f,55e,837,301,6fd,cd3,312,69e,cb7,a15,c48,5b3,355,993,5fe,33e,944,cf7,8e4,cfe,7d8,2f2,aa4,3ee,4a8,b7d,c9a,a62,3c7,4f2,0
683,683,0,381,9e8,cc4,6ce,9bc,369,586,c29,394,539,bf5,b5e,ce2,72b,2f7,807,780,2fa,7b2,cfc,750,ce6,966,340,bd0,50b,3a4,a3f,bc5,ba4,4cf,3df,0
684,684,0,306,865,d04,857,b13,449,449,b20,489,417,ad0,c57,d00,8b9,31b,679,910,32f,635,c8b,5d5,c57,aca,40b,c9c,675,30f,8bb,a93,c84,628,32f,0
685,685,0,307,6d8,cce,9d7,c28,582,36f,9cc,5d2,34a,972,cea,ca9,a2f,3ac,517,a86,3dd,4d2,baa,48a,b66,bec,533,d03,7fd,2f9,72e,922,cf6,7ab,2fb,0
686,686,0,37b,56b,c14,b37,ccb,6f8,303,83c,74c,2fb,7e4,cfd,bdb,b76,4a9,3fb,bbb,4ec,3cc,a73,393,a18,cb1,698,ce0,98a,34d,5af,78d,cf3,935,33c,0
687,687,0,464,430,b03,c41,d04,87b,309,6b1,8e1,319,658,c9c,abb,c6f,5f1,337,c95,648,32b,8f6,30c,898,d03,823,c4c,aec,425,46f,60f,c7c,aa4,3f1,0
688,688,0,59f,35c,9a3,cda,cbf,a00,38d,54d,a50,3bb,4f8,bc3,948,ced,776,2f5,cfa,7d1,2f8,760,2f7,70b,cce,9a9,b46,c0a,54d,385,4bd,b8d,bd4,50e,0
689,689,0,718,2fd,81c,d03,c04,b53,484,421,b9a,4c3,3e2,a94,7b7,cf2,8fd,326,cf0,95c,347,5ef,362,592,c36,b05,9f6,cc4,6bc,305,3b5,a49,ca2,665,0
690,690,0,89e,30e,691,cb2,ae5,c57,5c4,352,c7c,611,331,929,634,c8a,a77,3cd,c67,ac5,40a,49f,43a,457,b2a,c1c,86e,cfb,843,2f9,31f,8d3,cff,7f7,0
691,691,0,a24,3a0,528,bef,97d,ce5,73e,2f8,cf7,799,2f0,799,4db,bad,bb4,4de,b70,be9,528,3a0,563,374,9d5,ccd,6e2,cd0,9cb,379,2ff,744,ceb,980,0
692,692,0,b6a,496,401,ac3,7f4,cff,8c5,31c,cf4,929,335,612,3cc,a71,c94,639,a2d,cb2,696,318,6dc,2fc,84e,cff,56f,c1c,b23,457,353,5c8,c50,ae8,0
693,693,0,c65,5e9,345,957,669,c9e,a46,3b3,c7f,a97,3e6,4c0,327,900,cf8,7be,8b1,d07,811,302,868,305,6c1,cbc,439,b0f,c35,58a,420,488,b57,c03,0
694,694,0,cea,764,2f5,7d1,504,bd6,b86,4b6,b94,bc6,4fb,3be,2fc,773,cec,94a,71c,cd9,9a0,363,9f4,382,54d,c07,35f,9b3,cd5,704,542,391,a09,cc3,0
695,695,0,cfe,8f0,328,646,3ef,a9e,c72,603,a5d,c9d,65a,317,33a,5f0,c6b,ab2,5aa,c40,afb,434,b40,46d,423,aeb,2f7,82b,d01,893,6b1,30c,88a,d08,0
696,696,0,c93,a6a,3c7,4ee,33a,934,cf3,785,8dc,cfe,7dc,2f7,401,4a3,b7c,be0,46b,b3e,c18,563,c46,5b1,350,98a,30a,69b,cb5,a16,843,305,6fa,cd1,0
697,697,0,bb6,ba0,4d2,3d4,2f9,7aa,cfc,915,74d,ceb,96e,34c,515,3a9,a2e,cab,383,9e8,cce,6d5,cde,725,2f7,80b,394,533,bf6,b5f,9c6,377,587,c2b,0
698,698,0,a7f,c87,628,32e,32d,626,c82,a84,5d1,c5b,ad7,410,683,313,8b8,cfc,304,863,d0b,86b,cfa,8bb,30a,67c,48b,409,ad1,c5a,b1e,44f,450,b1a,0
699,699,0,912,cfb,7ac,2f8,3de,4cd,ba1,bbc,485,b5d,bfa,536,80f,2fa,728,cdc,30c,6d2,ccd,9e7,ca8,a36,3a2,513,5cf,346,96b,ce7,c2c,589,370,9c5,0
700,700,0,783,cf5,937,339,4f0,3c4,a6c,c94,394,a14,cb2,6a8,99a,357,5af,c44,383,567,c19,b3e,bd8,b7c,4a6,3fa,74b,2f6,7da,d00,cd3,6fd,2ff,83d,0
701,701,0,600,c74,aa7,3f5,64c,322,8f0,cfd,30a,88c,cfe,82a,af2,42c,471,b3e,46f,436,afe,c48,ab2,c6b,5f5,33b,8d8,31c,651,c98,d0c,88c,30f,6b4,0
702,702,0,4b1,b82,bd4,510,7d2,2fe,75a,ce7,301,701,cd7,9bb,c10,55c,380,9f0,5ad,360,9a3,cdf,941,cef,773,2f2,a56,3b4,4f8,bc5,cbc,a08,396,542,0
703,703,0,3af,a40,ca3,670,95f,342,5e5,c65,369,597,c2e,b12,cc8,6c8,303,869,723,300,81b,d04,7b2,cfc,900,321,b96,4c1,3d8,a8e,c01,b57,488,420,0
704,704,0,317,8c3,d01,7f7,aca,405,492,b68,448,44f,b1d,c24,d08,855,303,6dc,8ae,31a,693,caf,633,c86,a79,3ca,c7c,613,328,91d,ae2,c58,5cc,350,0
705,705,0,2f7,733,ce0,981,bef,52c,398,a22,578,36f,9ca,cd0,cc7,9de,37d,56c,a2d,3a8,52a,beb,4d3,bab,bad,4e1,ced,79f,2ee,78e,97d,ce8,744,2f6,0
706,706,0,355,5bd,c4f,aeb,cb5,693,312,89c,6f0,2ff,846,d01,c24,b32,460,434,b79,4a6,408,ac1,3c9,a6d,c8c,637,cef,925,32a,60d,7f1,cff,8d8,325,0
707,707,0,422,47a,b50,c00,d01,81c,2fb,713,87b,30c,6bb,cbd,b04,c3b,598,35f,c69,5f0,33f,95c,321,8fe,cf9,7be,c75,a92,3e7,4b8,663,ca4,a50,3b7,0
708,708,0,54a,386,9ff,cbc,cd9,9ab,361,59e,9f8,38d,550,c07,9ac,cdb,714,2fc,cf3,771,2ff,7c8,2f2,771,ced,94a,b8f,bc5,4f5,3b2,506,bcd,b96,4c1,0
709,709,0,6ba,306,878,d05,c40,b07,438,460,b46,47b,425,ae5,826,d03,8a5,309,cfc,8f6,32d,647,33a,5eb,c5e,ab6,a4e,c9a,65e,31f,3ef,aa6,c7c,612,0
710,710,0,840,302,6f2,cd2,b34,c1c,56b,377,c4d,5bb,34e,983,699,cb3,a1b,399,c92,a6b,3c7,4ec,3fa,49d,b71,bd8,8d6,cfb,7e6,2f7,339,935,cf8,793,0
711,711,0,9ca,372,577,c24,9db,cc4,6e1,304,ce6,73a,2f9,7f0,52c,bea,b68,493,bbc,bae,4d7,3da,513,39c,a2d,cab,74a,ce5,96b,349,2fe,7a9,cf8,924,0
712,712,0,b22,453,444,b15,85c,d01,864,306,cf9,8c4,31d,672,40a,ac6,c60,5db,a82,c8c,634,327,680,310,8af,cfe,5cc,c54,add,412,333,629,c84,a90,0
713,713,0,c34,593,36a,9ba,6c8,cc4,9ec,37c,ca7,a3e,3b2,50b,343,962,ced,75b,90d,cff,7b5,2fc,809,2f7,721,cdd,485,b5c,bf2,538,3e2,4ce,b9a,bc2,0
714,714,0,cd7,702,302,82c,55f,c0c,b3c,46e,bd4,b84,4b3,3f1,2fb,7d3,cf9,8ea,783,ced,945,33c,996,356,5a6,c3e,38e,a0d,cb6,6a4,4f5,3c4,a5f,c9c,0
715,715,0,d05,889,311,6a7,429,af3,c3f,5a9,aac,c74,5ff,336,320,651,c91,a60,603,c76,ab2,3f7,af3,427,465,b41,306,889,cfe,830,657,32d,8e9,cfe,0
716,716,0,cb9,a0a,390,53b,357,991,cdc,721,93b,cf5,77c,2f1,3c5,4ef,bc0,ba0,4ad,b85,bdc,516,c11,54f,37d,9ec,2fc,703,ccf,9b4,7dc,2fb,762,cee,0
717,717,0,bff,b5a,488,414,2fd,80f,d00,8b0,7ad,cfa,90d,326,4cc,3db,a86,c82,3b3,a42,ca9,678,cc3,6ca,302,869,371,586,c2a,b12,96d,34d,5e2,c5f,0
718,718,0,ad6,c54,5d2,34b,317,683,ca9,a32,62b,c84,a80,3d5,621,32a,917,cf1,31d,8c2,d07,7fd,d01,856,2fd,6d5,440,44c,b20,c29,ad1,409,491,b67,0
719,719,0,974,ce3,746,2f5,3a2,51a,be1,b7b,4d2,ba8,bb6,4e5,7ab,2f8,78c,ced,2fe,737,cde,990,cc2,9db,372,564,57a,36a,9c6,cca,bf6,530,3a2,a22,0
720,720,0,7df,cfe,8da,323,4a3,3f8,aba,c68,3c9,a68,c8f,649,934,338,607,c6f,357,5ba,c4b,af2,c16,b30,45f,434,6ee,301,843,d01,cb7,6a0,310,8a1,0
721,721,0,661,c97,a4f,3bc,5eb,340,94b,cf0,327,8f5,cfd,7ca,aa4,3f0,4b2,b8a,42d,47a,b4c,c0b,b01,c3c,597,358,879,306,6b7,cbd,d06,828,303,70e,0
722,722,0,503,bc9,b8d,4bb,770,2f8,7c4,cfb,2f9,769,ceb,960,bd5,501,3b3,a44,554,388,a02,cc2,9a7,cd7,70e,2f7,9fd,38d,543,c00,cd8,9ae,36b,596,0
